Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	"Nucleus DAPI (DAPI) Min (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Mean (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Max (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Total (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Min (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Max (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Total (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Min (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Max (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Total (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Min (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Max (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Total (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Min (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Mean (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Max (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Total (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Min (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Max (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Total (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Min (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Mean (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Max (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Total (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Min (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Max (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Std Dev (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Total (Normalized Counts, Total Weighting)"	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6781.17769
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	CD20	all	132	1365376	96.68							10800	0.79%					0	3.84	16.286	1.39	41471.987	0	1.133	11.794	0.934	12239.829	0	12.619	50.437	6.146	136284.422	0	0.025	2.489	0.103	265.071	0	0.086	4.028	0.124	929.335	0	0.469	14.114	0.551	5061.73	0	1.043	6.561	0.494	11268.03	2.439	9.027	22.822	1.738	97489.295		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	CD4	all	19	1365376	13.9							1375	0.10%					0.312	4.247	13.206	1.612	5840.102	1.323	5.377	12.888	1.557	7393.702	0	1.652	30.102	3.457	2271.809	0	0.067	0.76	0.045	91.829	0	0.098	2.966	0.13	134.738	0	0.52	12.935	1.079	714.708	0	1.395	4.87	0.493	1918.598	3	7.493	13.713	1.183	10302.363		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	CD68	all	24	1365376	17.6							2595	0.19%					0.161	3.145	8.668	0.774	8160.162	0	1.028	14.809	0.897	2667.613	0	0.19	8.571	0.261	493.391	0	0.035	1.398	0.053	91.786	0	0.853	8.39	0.464	2213.202	0	6.767	44.702	3.85	17559.383	0	3.254	14.282	1.144	8443.868	2.992	7.273	14.108	0.897	18872.52		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	CD8	all	68	1365376	49.8							6361	0.47%					0.086	4.77	14.027	1.415	30340.586	0	0.643	9.351	0.693	4087.309	0	0.83	21.052	1.424	5277.743	0	0.842	6.471	0.471	5353.98	0	0.408	8.336	0.561	2597.966	0	0.462	21.992	0.606	2937.505	0	1.618	17.827	0.765	10293.276	1.886	7.568	21.541	1.648	48139.266		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	FoxP3	all	89	1365376	65.2							6739	0.49%					0.092	4.886	16.933	2.119	32923.832	0	0.817	11.437	0.703	5506.04	0	0.951	21.152	2.007	6408.976	0	0.07	3.766	0.148	468.71	0	1.529	16.65	1.773	10301.801	0	0.062	3.238	0.078	417.24	0	0.729	8.183	0.399	4915.313	1.247	9.133	23.422	2.019	61547.631		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	others	all	1941	1365376	1421.6							173961	12.74%					0	3.567	17.224	1.738	620553.649	0	0.24	11.713	0.448	41691.09	0	0.682	28.262	1.576	118609.601	0	0.07	5.46	0.125	12134.984	0	0.048	4.681	0.084	8381.663	0	0.33	19.663	0.592	57385.493	0	1.015	10.938	0.574	176657.125	0.234	7.108	23.127	1.426	1236508.314		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	Treg	all	421	1365376	308.3							37124	2.72%					0	3.896	15.27	1.613	144630.632	0	2.012	15.375	1.489	74698.233	0	2.581	38.915	3.58	95819.275	0	0.049	4.801	0.087	1836.608	0	1.254	29.845	2.519	46564.447	0	1.194	39.774	2.001	44342.795	0	1.846	16.242	0.98	68524.994	1.091	7.145	19.786	1.415	265247.142		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama	All	all	2733	1365376	2001.6							240347	17.60%					0	3.698	17.224	1.733	888773.765	0	0.62	15.375	1.097	148941.071	0	1.529	50.437	3.683	367582.638	0	0.085	6.471	0.199	20351.627	0	0.296	29.845	1.147	71192.068	0	0.535	44.702	1.249	128613.835	0	1.178	17.827	0.768	283192.932	0.234	7.273	23.422	1.559	1748149.232		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	CD20	all	0	1246080	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	CD4	all	10	1246080	8.03							887	0.07%					0.252	2.973	7.942	0.801	2636.984	2.223	5.955	13.078	1.393	5282.179	0	0.149	0.937	0.164	131.835	0	0.06	0.498	0.041	53.11	0	0.279	6.541	1.165	247.847	0	1.704	13.641	3.131	1511.643	0.273	1.992	8.43	1.251	1766.862	2.308	6.737	10.911	0.694	5975.886		13-2146	0	0	0	0		
